id;name;uic;lat;lon;country;evalid
2108;Steinach in Tirol;steinach-in-tirol;47,089275;11,469821;AT;8100107
2287;Kröllendorf;krollendorf;48,04307;14,788911;AT;8101081
746;Geinberg;geinberg;48,266327;13,291437;AT;8100830
359;Bad Erlach;bad-erlach;47,73143;16,211346;AT;8100192
2220;Trumau;trumau;47,99251;16,332157;AT;8101682
93;Wolfshütte;wolfshutte;48,053047;13,681402;AT;8101794
2197;Gries im Pinzgau;gries-im-pinzgau;47,28803;12,890593;AT;8100892
2150;St.Valentin;st.valentin;48,179047;14,520935;AT;8100009
1129;Lambach Markt;lambach-markt;48,094383;13,869963;AT;8101223
1270;Loipersbach-Schattendorf;loipersbach-schattendorf;47,700756;16,491816;AT;8100398
930;Patsch;patsch;47,192577;11,417685;AT;8101337
890;Hopfgarten;hopfgarten;47,45558;12,148908;AT;8100059
716;Garsten;garsten;48,023743;14,408469;AT;8100248
711;Schwechat;schwechat;48,14348;16,481632;AT;8100259
700;Großraming;grossraming;47,882103;14,551561;AT;8100876
655;Sarasdorf;sarasdorf;48,02321;16,677359;AT;8101467
870;Oftering;oftering;48,227615;14,151154;AT;8101308
518;Volders-Baumkirchen;volders-baumkirchen;47,296146;11,564123;AT;8100337
493;Schrambach;schrambach;48,002037;15,575357;AT;8101586
431;Furth-Göttweig;furth-gottweig;48,37319;15,6157675;AT;8100244
404;Feldbach;feldbach;46,95855;15,888555;AT;8100175
383;Ernsthofen;ernsthofen;48,12659;14,479982;AT;8100747
309;Ebreichsdorf;ebreichsdorf;47,96416;16,41933;AT;8100226
163;Böheimkirchen;boheimkirchen;48,2;15,75389;AT;8100661
149;Baden;baden;48,00431;16,243092;AT;8100025
127;Bad Mitterndorf;bad-mitterndorf;47,5505;13,943815;AT;8100165
28;Puch bei Hallein;puch-bei-hallein;47,71283;13,09073;AT;8101406
12;Admont;admont;47,573353;14,468402;AT;8100161
5738657;Köttmannsdorf Lambichl;kottmannsdorf-lambichl;46,579567;14,282904;AT;8103840
5267955;Schalchen-Mattighofen;schalchen-mattighofen;48,095238;13,163638;AT;8102068
4609057;Hengsberg;hengsberg;46,864197;15,458731;AT;8102051
4872534;Innsbruck Messe;innsbruck-messe;47,27325;11,407682;AT;8105987
1251761;Geiselbergstraße;geiselbergstrasse;48,17571;16,40719;AT;8101555
2578;Lanzendorf-Rannersdorf;lanzendorf-rannersdorf;48,1132;16,447393;AT;8101173
2531;Neumarkt a.d.Y-Karlsbach;neumarkt-a.d.y-karlsbach;48,14197;15,049751;AT;8101293
2528;Urschendorf;urschendorf;47,797497;16,09027;AT;8101711
2501;Pottendorf-Landegg;pottendorf-landegg;47,90526;16,396023;AT;8100525
2499;Wampersdorf;wampersdorf;47,931065;16,41708;AT;8100342
2431;Westendorf;westendorf;47,441185;12,223196;AT;8100058
2401;Wels Hbf;wels-hbf;48,166138;14,02759;AT;8100014
2343;Diensthubersiedlung;diensthubersiedlung;47,96805;14,022015;AT;8101833
2326;Vöcklabruck;vocklabruck;48,010063;13,663842;AT;8100507
2318;Wiesenfeld-Schwarzenbach;wiesenfeld-schwarzenbach;48,051216;15,648699;AT;8101804
2298;Hard-Fussach;hard-fussach;47,47989;9,68983;AT;8100267
2232;Ternitz;ternitz;47,71299;16,032234;AT;8101661
2228;Timelkam;timelkam;48,007984;13,595836;AT;8101670
2130;Mötz;motz;47,275852;10,961153;AT;8101237
2121;Stiefern;stiefern;48,53488;15,691415;AT;8101500
2105;Steinhaus bei Wels;steinhaus-bei-wels;48,11934;14,017944;AT;8101521
2096;Wien Hirschstetten;wien-hirschstetten;48,232784;16,469519;AT;8100918
2066;Spital am Pyhrn;spital-am-pyhrn;47,67312;14,347602;AT;8100306
2055;St.Johann-Weistrach;st.johann-weistrach;48,075466;14,612746;AT;8101530
2015;Sillian;sillian;46,745556;12,425095;AT;8100142
2009;Sigmundsherberg;sigmundsherberg;48,685528;15,745499;AT;8100493
1994;Scheifling;scheifling;47,147842;14,419224;AT;8101538
1985;Steinhaus;steinhaus;47,620926;15,784217;AT;8101520
1948;Schönberg am Kamp;schonberg-am-kamp;48,515663;15,6966305;AT;8100487
1932;Annenheim;annenheim;46,65877;13,898724;AT;8100213
1919;Leogang-Steinberge;leogang-steinberge;47,445007;12,768486;AT;8101146
1910;Ehrenhausen;ehrenhausen;46,727684;15,585473;AT;8100763
1891;Pflach;pflach;47,51407;10,7180395;AT;8100556
1888;Sonntagberg;sonntagberg;47,991974;14,738287;AT;8101573
1825;Bad Ried;bad-ried;48,21211;13,477553;AT;8100678
1603;Oberdrauburg;oberdrauburg;46,74628;12,9740505;AT;8100144
1584;Wien Praterstern;wien-praterstern;48,220993;16,391817;AT;8100349
1559;Ollersbach;ollersbach;48,19146;15,847414;AT;8101312
1528;Neumarkt-Kallham;neumarkt-kallham;48,271427;13,724541;AT;8100023
1439;St.Martin im Innkreis;st.martin-im-innkreis;48,288906;13,433577;AT;8100437
1408;Furth;furth;48,131947;13,13984;AT;8100814
1379;Gumpoldskirchen;gumpoldskirchen;48,041256;16,285269;AT;8100867
1409;Uttendorf-Helpfau;uttendorf-helpfau;48,160793;13,133486;AT;8100333
1342;St.Marein-St.Lorenzen;st.marein-st.lorenzen;47,473255;15,373254;AT;8101243
1341;Maria Lanzendorf;maria-lanzendorf;48,102486;16,419584;AT;8101224
1990;Gleißenfeld;gleissenfeld;47,67761;16,129124;AT;8100851
1311;Mallnitz-Obervellach;mallnitz-obervellach;46,98168;13,17619;AT;8100093
1280;Lungitz;lungitz;48,288586;14,478402;AT;8101185
1251;Siebenmühlen-Rosenau;siebenmuhlen-rosenau;47,95974;13,605846;AT;8101478
662;Gosdorf;gosdorf;46,72452;15,7976885;AT;8100886
629;Schlöglmühl;schloglmuhl;47,682476;15,914634;AT;8100587
498;Teichstätt;teichstatt;48,019848;13,212967;AT;8101658
754;Hall in Tirol;hall-in-tirol;47,27702;11,501823;AT;8100105
510;Frättingsdorf;frattingsdorf;48,642323;16,513868;AT;8100808
1596;Hallstatt;hallstatt;47,568104;13,662105;AT;8100926
1240760;Sollenau;sollenau;47,898502;16,24539;AT;8101567
1569;Jois;jois;47,956673;16,791176;AT;8100280
1518;Neudörfl;neudorfl;47,793808;16,300255;AT;8100494
572;Seyring;seyring;48,330578;16,501757;AT;8101498
1516;Iglmühle;iglmuhle;48,520664;14,036533;AT;8100999
1297;Linz Oed;linz-oed;48,26475;14,276542;AT;8101193
1607;Öblarn;oblarn;47,46072;13,987607;AT;8100133
286;Haselstauden;haselstauden;47,432552;9,749116;AT;8100981
2079;Schönwies;schonwies;47,197254;10,660805;AT;8101629
2472;Groß Weikersdorf;gross-weikersdorf;48,46893;15,976192;AT;8100906
938;Allerheiligenhöfe;allerheiligenhofe;47,26912;11,353435;AT;8100548
2527;Winzendorf;winzendorf;47,81112;16,111612;AT;8101781
2463;Schauboden;schauboden;48,078854;15,1369505;AT;8101480
919;Hüttau Terminal;huttau-terminal;47,41556;13,3204565;AT;8100993
25;Salzburg Aigen;salzburg-aigen;47,788563;13,078765;AT;8101470
467;Theresienfeld;theresienfeld;47,860744;16,24406;AT;8101664
341;Eichberg;eichberg;47,672195;15,911047;AT;8100736
429;Fentsch-St. Lorenzen;fentsch-st.-lorenzen;47,25177;14,893099;AT;8100783
402;Fischamend;fischamend;48,11653;16,615131;AT;8100235
396;Hirtenberg;hirtenberg;47,928967;16,176514;AT;8100983
374;Kottingneusiedl;kottingneusiedl;48,703365;16,46516;AT;8101065
340;Ehrwald-Zugspitzbahn;ehrwald-zugspitzbahn;47,410122;10,913672;AT;8100089
1456;Maria Rain;maria-rain;46,56307;14,284078;AT;8100470
851;Hetzmannsdorf-Wullersdorf;hetzmannsdorf-wullersdorf;48,61664;16,091732;AT;8100936
1160;Steinkogl;steinkogl;47,787006;13,740865;AT;8101534
1442;Mogersdorf;mogersdorf;46,945545;16,229292;AT;8101231
